"","ensembl_gene_id","external_gene_name","gene_biotype"
"1","ENSMUSG00000064372","mt-Tp","Mt_tRNA"
"2","ENSMUSG00000064371","mt-Tt","Mt_tRNA"
"3","ENSMUSG00000064370","mt-Cytb","protein_coding"
"4","ENSMUSG00000064369","mt-Te","Mt_tRNA"
"5","ENSMUSG00000064368","mt-Nd6","protein_coding"
"6","ENSMUSG00000064367","mt-Nd5","protein_coding"
"7","ENSMUSG00000064366","mt-Tl2","Mt_tRNA"
"8","ENSMUSG00000064365","mt-Ts2","Mt_tRNA"
"9","ENSMUSG00000064364","mt-Th","Mt_tRNA"
"10","ENSMUSG00000064363","mt-Nd4","protein_coding"
"11","ENSMUSG00000065947","mt-Nd4l","protein_coding"
"12","ENSMUSG00000064361","mt-Tr","Mt_tRNA"
"13","ENSMUSG00000064360","mt-Nd3","protein_coding"
"14","ENSMUSG00000064359","mt-Tg","Mt_tRNA"
"15","ENSMUSG00000064358","mt-Co3","protein_coding"
"16","ENSMUSG00000064357","mt-Atp6","protein_coding"
"17","ENSMUSG00000064356","mt-Atp8","protein_coding"
"18","ENSMUSG00000064355","mt-Tk","Mt_tRNA"
"19","ENSMUSG00000064354","mt-Co2","protein_coding"
"20","ENSMUSG00000064353","mt-Td","Mt_tRNA"
"21","ENSMUSG00000064352","mt-Ts1","Mt_tRNA"
"22","ENSMUSG00000064351","mt-Co1","protein_coding"
"23","ENSMUSG00000064350","mt-Ty","Mt_tRNA"
"24","ENSMUSG00000064349","mt-Tc","Mt_tRNA"
"25","ENSMUSG00000064348","mt-Tn","Mt_tRNA"
"26","ENSMUSG00000064347","mt-Ta","Mt_tRNA"
"27","ENSMUSG00000064346","mt-Tw","Mt_tRNA"
"28","ENSMUSG00000064345","mt-Nd2","protein_coding"
"29","ENSMUSG00000064344","mt-Tm","Mt_tRNA"
"30","ENSMUSG00000064343","mt-Tq","Mt_tRNA"
"31","ENSMUSG00000064342","mt-Ti","Mt_tRNA"
"32","ENSMUSG00000064341","mt-Nd1","protein_coding"
"33","ENSMUSG00000064340","mt-Tl1","Mt_tRNA"
"34","ENSMUSG00000064339","mt-Rnr2","Mt_rRNA"
"35","ENSMUSG00000064338","mt-Tv","Mt_tRNA"
"36","ENSMUSG00000064337","mt-Rnr1","Mt_rRNA"
"37","ENSMUSG00000064336","mt-Tf","Mt_tRNA"
"38","ENSMUSG00000054675","Tmem119","protein_coding"
"39","ENSMUSG00000032068","Plet1","protein_coding"
"40","ENSMUSG00000034224","Slc38a8","protein_coding"
"41","ENSMUSG00000107560","Gm44199","antisense"
"42","ENSMUSG00000107937","Gm44200","sense_intronic"
"43","ENSMUSG00000032601","Prkar2a","protein_coding"
"44","ENSMUSG00000104972","Gm19931","processed_pseudogene"
"45","ENSMUSG00000031981","Capn9","protein_coding"
"46","ENSMUSG00000033940","Brk1","protein_coding"
"47","ENSMUSG00000076580","Igkv8-27","IG_V_gene"
"48","ENSMUSG00000031173","Otc","protein_coding"
"49","ENSMUSG00000063020","Olfr194","protein_coding"
"50","ENSMUSG00000026034","Clk1","protein_coding"
"51","ENSMUSG00000083090","Gm11736","processed_pseudogene"
"52","ENSMUSG00000116157","Cyp2d67-ps","unprocessed_pseudogene"
"53","ENSMUSG00000101304","Plet1os","antisense"
"54","ENSMUSG00000095534","Gm15102","unprocessed_pseudogene"
"55","ENSMUSG00000113722","Snhg10","lincRNA"
"56","ENSMUSG00000061848","Gm5805","processed_pseudogene"
"57","ENSMUSG00000062608","Olfr195","protein_coding"
"58","ENSMUSG00000061633","1700029P11Rik","protein_coding"
"59","ENSMUSG00000031027","Stk33","protein_coding"
"60","ENSMUSG00000081827","Gm15103","unprocessed_pseudogene"
"61","ENSMUSG00000085565","Gm15721","lincRNA"
"62","ENSMUSG00000031835","Mbtps1","protein_coding"
"63","ENSMUSG00000032816","Igdcc4","protein_coding"
"64","ENSMUSG00000115469","Gm49227","antisense"
"65","ENSMUSG00000114988","Gm49226","antisense"
"66","ENSMUSG00000033933","Vhl","protein_coding"
