PLATE,INFECTED ROWS
IMM-feb20_M10_P29_24hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M10_P30_24hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M10_P31_24hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M10_P32_24hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M10_P33_24hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M10_P34_24hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M10_P35_24hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M10_P36_24hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M6_P1_12hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M6_P2_12hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M6_P3_12hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M6_P4_12hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M6_P5_12hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M6_P6_12hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M6_P7_12hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M6_P8_12hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M7_P10_NI,X0-X1
IMM-feb20_M7_P11_NI,X0-X1
IMM-feb20_M7_P12_NI,X0-X1
IMM-feb20_M7_P13_NI,X0-X1
IMM-feb20_M7_P9_NI,X0-X1
IMM-feb20_M8_P15_36hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M8_P16_36hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M8_P17_36hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M8_P18_36hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M8_P19_36hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M8_P20_36hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M8_P21_36hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M9_P22_2hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M9_P23_2hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M9_P24_2hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M9_P25_2hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M9_P26_2hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M9_P27_2hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-feb20_M9_P28_2hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-nov18_M1_P1_22hpi,"D1-D24,E1-E24,F1-F24"
IMM-nov18_M1_P5_22hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-nov18_M2_P1_26hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-nov18_M3_P3_13hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-nov18_M3_P4_13hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-nov18_M3_P5_13hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-nov18_M4_P3_2hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-nov18_M4_P4_2hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-aug20_M13_P1_36hpi,"D1-D24,E1-E14"
IMM-aug20_M13_P2_36hpi,D4-D24
IMM-aug20_M13_P3_36hpi,"D1-D24,E1-E24,F23-F24"
IMM-aug20_M13_P4_36hpi,D10-D24
IMM-aug20_M13_P5_36hpi,"D1-D24,E1-E4"
IMM-aug20_M14_P7_2hpi,"D1-D24,E1-E24,F1-F24,G1-G24"
IMM-aug20_M15_P11_2hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-aug20_M15_P12_2hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-aug20_M15_P13_2hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-aug20_M15_P14_2hpi,"D1-D24,E1-E24,F1-F24,G1-G24,H1-H24"
IMM-aug20_M15_P15_2hpi,"A1-A24,B17-B24"
IMM-aug20_M16_P16_mock,X0-X1
IMM-aug20_M16_P17_mock,X0-X1
IMM-aug20_M16_P18_mock,X0-X1
IMM-aug20_M16_P19_mock,X0-X1
IMM-aug20_M17_P20_30hpi,"D1-D24,E1-E24,F14-F24"
IMM-aug20_M17_P21_30hpi,"D1-D24,E1-E12"
IMM-aug20_M17_P22_30hpi,"D1-D24,E1-E24,F1-F24,G13-G24"
IMM-aug20_M17_P23_30hpi,"D1-D24,E1-E24,F20-F24"
