"","ensembl_gene_id","external_gene_name","gene_biotype"
"1","PBANKA_000290","PBANKA_000290 BIR protein","protein_coding"
"2","PBANKA_000950","PBANKA_000950 ","pseudogene"
"3","PBANKA_000780","PBANKA_000780 ","pseudogene"
"4","PBANKA_000010","PBANKA_000010 BIR protein","protein_coding"
"5","PBANKA_000450","PBANKA_000450 reticulocyte binding protein, putative","protein_coding"
"6","PBANKA_000610","PBANKA_000610 ","pseudogene"
"7","PBANKA_000620","PBANKA_000620 ","pseudogene"
"8","PBANKA_000630","PBANKA_000630 BIR protein","protein_coding"
"9","PBANKA_000900","PBANKA_000900 ","pseudogene"
"10","PBANKA_000240","PBANKA_000240 BIR protein","protein_coding"
"11","PBANKA_001010","PBANKA_001010 ","pseudogene"
"12","PBANKA_000650","PBANKA_000650 ","pseudogene"
"13","PBANKA_000170","PBANKA_000170 BIR protein","protein_coding"
"14","PBANKA_000180","PBANKA_000180 fam-b protein","protein_coding"
"15","PBANKA_000940","PBANKA_000940 ","pseudogene"
"16","PBANKA_000280","PBANKA_000280 reticulocyte binding protein, putative","protein_coding"
"17","PBANKA_000360","PBANKA_000360 BIR protein","protein_coding"
"18","PBANKA_000840","PBANKA_000840 ","pseudogene"
"19","PBANKA_000980","PBANKA_000980 ","pseudogene"
"20","PBANKA_000990","PBANKA_000990 ","pseudogene"
"21","PBANKA_000720","PBANKA_000720 ","pseudogene"
"22","PBANKA_000270","PBANKA_000270 ","pseudogene"
"23","PBANKA_000660","PBANKA_000660 ","pseudogene"
"24","PBANKA_000870","PBANKA_000870 ","pseudogene"
"25","PBANKA_000680","PBANKA_000680 ","pseudogene"
"26","PBANKA_000800","PBANKA_000800 ","pseudogene"
"27","PBANKA_000090","PBANKA_000090 BIR protein","protein_coding"
"28","PBANKA_000820","PBANKA_000820 ","pseudogene"
"29","PBANKA_000700","PBANKA_000700 ","pseudogene"
"30","PBANKA_000740","PBANKA_000740 ","pseudogene"
"31","PBANKA_000150","PBANKA_000150 BIR protein","protein_coding"
"32","PBANKA_000880","PBANKA_000880 ","protein_coding"
"33","PBANKA_000760","PBANKA_000760 ","pseudogene"
"34","PBANKA_000040","PBANKA_000040 BIR protein","protein_coding"
"35","PBANKA_000850","PBANKA_000850 ","pseudogene"
"36","PBANKA_000220","PBANKA_000220 reticulocyte binding protein, putative","protein_coding"
"37","PBANKA_001020","PBANKA_001020 ","pseudogene"
"38","PBANKA_001030","PBANKA_001030 BIR protein","protein_coding"
"39","PBANKA_000490","PBANKA_000490 conserved rodent malaria protein, unknown function","protein_coding"
"40","PBANKA_001040","PBANKA_001040 ","pseudogene"
"41","PBANKA_000430","PBANKA_000430 BIR protein","protein_coding"
"42","PBANKA_000440","PBANKA_000440 BIR protein","protein_coding"
"43","PBANKA_000300","PBANKA_000300 BIR protein","protein_coding"
"44","PBANKA_000190","PBANKA_000190 BIR protein","protein_coding"
"45","PBANKA_000200","PBANKA_000200 BIR protein","protein_coding"
"46","PBANKA_000070","PBANKA_000070 fam-b protein","protein_coding"
"47","PBANKA_000230","PBANKA_000230 DNA-directed RNA polymerase III subunit RPC4, putative","protein_coding"
"48","PBANKA_000235","PBANKA_000235 fam-a protein","protein_coding"
"49","PBANKA_000860","PBANKA_000860 ","pseudogene"
"50","PBANKA_001050","PBANKA_001050 ","pseudogene"
"51","PBANKA_000790","PBANKA_000790 ","pseudogene"
"52","PBANKA_000080","PBANKA_000080 fam-b protein","protein_coding"
"53","PBANKA_000690","PBANKA_000690 ","pseudogene"
"54","PBANKA_000970","PBANKA_000970 ","pseudogene"
"55","PBANKA_000960","PBANKA_000960 ","pseudogene"
"56","PBANKA_000500","PBANKA_000500 fam-b protein","protein_coding"
"57","PBANKA_000930","PBANKA_000930 ","pseudogene"
"58","PBANKA_000830","PBANKA_000830 ","pseudogene"
"59","PBANKA_000510","PBANKA_000510 reticulocyte binding protein, putative","protein_coding"
"60","PBANKA_000710","PBANKA_000710 ","pseudogene"
"61","PBANKA_000100","PBANKA_000100 BIR protein","protein_coding"
"62","PBANKA_000520","PBANKA_000520 fam-c protein","protein_coding"
"63","PBANKA_000640","PBANKA_000640 BIR protein","protein_coding"
"64","PBANKA_000460","PBANKA_000460 BIR protein","protein_coding"
"65","PBANKA_000470","PBANKA_000470 ","pseudogene"
"66","PBANKA_000730","PBANKA_000730 ","pseudogene"
"67","PBANKA_000160","PBANKA_000160 reticulocyte binding protein, putative","protein_coding"
